Pib_usa;tiempo
30.7;1960q1
30.8;1960q2
30.7;1960q3
30.7;1960q4
30.8;1961q1
30.5;1961q2
30.5;1961q3
30.6;1961q4
30.7;1962q1
30.6;1962q2
30.7;1962q3
30.7;1962q4
30.6;1963q1
30.5;1963q2
30.6;1963q3
30.7;1963q4
30.7;1964q1
30.6;1964q2
30.7;1964q3
30.7;1964q4
30.9;1965q1
31.2;1965q2
31.4;1965q3
31.6;1965q4
32.1;1966q1
32.2;1966q2
32.6;1966q3
32.4;1966q4
32.3;1967q1
32.3;1967q2
32.4;1967q3
32.5;1967q4
32.9;1968q1
33.1;1968q2
33.3;1968q3
33.4;1968q4
33.9;1969q1
34.4;1969q2
34.7;1969q3
35;1969q4
35.5;1970q1
35.7;1970q2
35.9;1970q3
35.9;1970q4
36.5;1971q1
36.9;1971q2
37.2;1971q3
37.2;1971q4
37.9;1972q1
38.3;1972q2
38.8;1972q3
39.2;1972q4
41.1;1973q1
43.1;1973q2
44.9;1973q3
45.3;1973q4
48.3;1974q1
50;1974q2
53.6;1974q3
55.4;1974q4
55.4;1975q1
56;1975q2
57.2;1975q3
57.8;1975q4
58.1;1976q1
59;1976q2
59.7;1976q3
60.2;1976q4
61.6;1977q1
63;1977q2
63.1;1977q3
63.9;1977q4
65.4;1978q1
67.4;1978q2
68.4;1978q3
70;1978q4
72.5;1979q1
75.1;1979q2
77.4;1979q3
80.2;1979q4
83.9;1980q1
85.6;1980q2
88.4;1980q3
90.4;1980q4
93.1;1981q1
95.2;1981q2
95.9;1981q3
95.8;1981q4
96.6;1982q1
96.7;1982q2
97.1;1982q3
97.2;1982q4
97.3;1983q1
97.6;1983q2
98.6;1983q3
99.1;1983q4
100.2;1984q1
100.8;1984q2
100.6;1984q3
100.3;1984q4
100.1;1985q1
100.2;1985q2
99.5;1985q3
100.1;1985q4
98.6;1986q1
96.8;1986q2
96.3;1986q3
96.7;1986q4
97.8;1987q1
99.4;1987q2
100.5;1987q3
101;1987q4
101.6;1988q1
103.2;1988q2
104.7;1988q3
105.2;1988q4
107.5;1989q1
109.4;1989q2
109;1989q3
109.4;1989q4
111;1990q1
110.8;1990q2
112.8;1990q3
116.2;1990q4
